Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
33313,Kitchen Confidential: Adventures in the Culinary Underbelly,Anthony Bourdain,"Bourdain, Anthony",,"=""0060899220""","=""9780060899226""",5,4.06,Ecco/Harper Perennial,Paperback,312,2007,2000,,2018/06/23,,,read,,,,1,,,0,,,,,
888628,"Neuromancer (Sprawl, #1)",William Gibson,"Gibson, William",Jack Womack,"=""""","=""""",5,3.89,Ace Books,Paperback,320,2000,1984,,2018/06/23,,,read,,,,2,,,0,,,,,
24724602,Flash Boys: A Wall Street Revolt,Michael   Lewis,"Lewis, Michael",,"=""0393351599""","=""9780393351590""",5,4.14,W. W. Norton  Company,Paperback,320,2015,2014,,2018/06/23,,,read,,,,1,,,0,,,,,
84053,The Other Side Of Midnight,Sidney Sheldon,"Sheldon, Sidney",,"=""0006179312""","=""9780006179313""",0,3.91,HarperCollins Publishers,Paperback,598,1996,1973,,2018/07/14,,,read,,,,1,,,0,,,,,
821611,The Story of My Life,Helen Keller,"Keller, Helen",,"=""0553213873""","=""9780553213874""",0,4.08,Bantam Classics,Paperback,240,1990,1902,,2018/07/14,,,read,,,,1,,,0,,,,,
3431,The Five People You Meet in Heaven,Mitch Albom,"Albom, Mitch",,"=""1401308589""","=""9781401308582""",0,3.92,Hyperion,Paperback,196,2003,2003,,2018/07/12,,,read,,,,1,,,0,,,,,
97412,On the Shortness of Life,Seneca,"Seneca, Seneca",Charles Desmond Nuttall Costa,"=""0143036327""","=""9780143036326""",0,4.24,Penguin Books,Paperback,106,2005,49,,2018/07/12,,,read,,,,1,,,0,,,,,
9248625,Of Human Freedom,Epictetus,"Epictetus, Epictetus",Robert F. Dobbin,"=""0141192356""","=""9780141192352""",0,4.23,Penguin Classics,Paperback,91,2010,100,,2018/07/12,,,read,,,,1,,,0,,,,,
20527133,"Superintelligence: Paths, Dangers, Strategies",Nick Bostrom,"Bostrom, Nick",,"=""0199678111""","=""9780199678112""",0,3.87,"Oxford University Press, USA",Hardcover,328,2014,2014,,2018/07/12,,,read,,,,1,,,0,,,,,
25734172,Seven Brief Lessons on Physics,Carlo Rovelli,"Rovelli, Carlo","Simon Carnell, Erica Segre","=""0399184414""","=""9780399184413""",0,3.96,Riverhead Books,Hardcover,81,2016,2014,,2018/07/12,,,read,,,,1,,,0,,,,,
31138556,Homo Deus: A History of Tomorrow,Yuval Noah Harari,"Harari, Yuval Noah",,"=""""","=""""",0,4.27,Harper,Kindle Edition,450,2017,2015,,2018/07/12,,,read,,,,1,,,0,,,,,
18209305,My Brief History,Stephen Hawking,"Hawking, Stephen",,"=""0345535286""","=""9780345535283""",0,3.60,Bantam,Hardcover,126,2013,2013,,2018/07/12,,,read,,,,1,,,0,,,,,
32758901,"All Systems Red (The Murderbot Diaries, #1)",Martha Wells,"Wells, Martha",,"=""""","=""9780765397522""",0,4.15,Tor.com,ebook,144,2017,2017,,2018/07/12,,,read,,,,1,,,0,,,,,
22668729,Hooked: How to Build Habit-Forming Products,Nir   Eyal,"Eyal, Nir",,"=""1591847788""","=""9781591847786""",0,4.07,Portfolio,Hardcover,256,2014,2013,,2018/07/12,,,read,,,,1,,,0,,,,,
18869177,Lying,Sam Harris,"Harris, Sam",,"=""""","=""""",0,3.87,Four Elephants Press,Kindle Edition,47,2013,2011,,2018/07/12,,,read,,,,1,,,0,,,,,
827685,Up from Slavery,Booker T. Washington,"Washington, Booker T.",Ishmael Reed,"=""0451527542""","=""9780451527547""",0,4.10,Signet Classics,Paperback,256,2000,1900,,2018/07/12,,,read,,,,1,,,0,,,,,
16278318,Armada,Ernest Cline,"Cline, Ernest",,"=""0804137250""","=""9780804137256""",0,3.52,Crown Publishing ,Hardcover,355,2015,2015,,2018/07/12,,,read,,,,1,,,0,,,,,
1168341,Physics of the Impossible,Michio Kaku,"Kaku, Michio",,"=""0385520697""","=""9780385520690""",0,4.08,Doubleday Books,Hardcover,329,2008,2008,,2018/07/11,,,read,,,,1,,,0,,,,,
17364,"Surely You're Joking, Mr. Feynman!",Richard P. Feynman,"Feynman, Richard P.",,"=""009917331X""","=""9780099173311""",5,4.27,Vintage,Paperback,350,2006,1985,2018/07/09,2018/07/03,,,read,,,,1,,,0,,,,,
25657078,12 Years a Slave,Solomon Northup,"Northup, Solomon",,"=""8192681025""","=""""",0,4.19,Pirates,Paperback,235,,1853,,2018/07/06,,,read,,,,1,,,0,,,,,
29953831,The Sympathizer,Viet Thanh Nguyen,"Nguyen, Viet Thanh",,"=""1472151364""","=""9781472151360""",5,4.00,Corsair,Paperback,499,2016,2015,2018/06/29,2018/06/29,,,read,,,,1,,,0,,,,,
25489025,The Vegetarian,Han Kang,"Kang, Han",Deborah     Smith,"=""""","=""""",4,3.58,Hogarth Press,Hardcover,188,2016,2007,,2018/06/26,,,read,,,,1,,,0,,,,,
18624273,The War of Art,Steven Pressfield,"Pressfield, Steven","Coyne, Shawn","=""""","=""""",0,4.01,Black Irish Entertainment LLC,Kindle Edition,198,2011,2002,,2018/06/27,,,read,,,,1,,,0,,,,,
6547148,The Dip: A Little Book That Teaches You When to Quit (and When to Stick),Seth Godin,"Godin, Seth",,"=""""","=""""",0,3.84,Portfolio,Kindle Edition,108,2007,2007,,2018/06/27,,,read,,,,1,,,0,,,,,
2547,The Prophet,Kahlil Gibran,"Gibran, Kahlil",جبران خليل جبران,"=""000100039X""","=""9780001000391""",0,4.23,Rupa & Co,Paperback,127,2010,1923,,2018/06/26,,,read,,,,1,,,0,,,,,
99561,Looking for Alaska,John Green,"Green, John",,"=""0142402516""","=""9780142402511""",0,4.05,Speak,Paperback,221,2006,2005,,2018/06/26,,,read,,,,1,,,0,,,,,
18668059,The Obstacle Is the Way: The Timeless Art of Turning Trials into Triumph,Ryan Holiday,"Holiday, Ryan",,"=""1591846358""","=""9781591846352""",0,4.14,Portfolio,Hardcover,201,2014,2014,,2018/06/26,,,read,,,,1,,,0,,,,,
27036528,Ego Is the Enemy,Ryan Holiday,"Holiday, Ryan",,"=""1591847818""","=""9781591847816""",0,4.14,Portfolio,Hardcover,226,2016,2016,,2018/06/26,,,read,,,,1,,,0,,,,,
30659,Meditations,Marcus Aurelius,"Aurelius, Marcus","Albert Wittstock, Martin Hammond, Diskin Clay","=""0140449337""","=""9780140449334""",0,4.23,Penguin Books,Paperback,303,2006,180,,2018/06/26,,,read,,,,1,,,0,,,,,
25372801,All the Birds in the Sky,Charlie Jane Anders,"Anders, Charlie Jane",,"=""0765379945""","=""9780765379948""",0,3.58,Tor Books,Hardcover,313,2016,2016,,2018/06/26,,,read,,,,1,,,0,,,,,
19288239,Colorless Tsukuru Tazaki and His Years of Pilgrimage,Haruki Murakami,"Murakami, Haruki",Philip Gabriel,"=""0385352107""","=""9780385352109""",0,3.84,Knopf Publishing Group,Hardcover,386,2014,2013,,2018/06/26,,,read,,,,1,,,0,,,,,
29069989,"Harry Potter and the Cursed Child, Parts 1 & 2",J.K. Rowling,"Rowling, J.K.","John Tiffany, Jack Thorne","=""1338099132""","=""9781338099133""",0,3.66,Arthur A. Levine Books,Hardcover,309,2016,2016,,2018/06/26,,,read,,,,1,,,0,,,,,
29363501,"Fantastic Beasts and Where to Find Them: The Original Screenplay (Fantastic Beasts: The Original Screenplay, #1)",J.K. Rowling,"Rowling, J.K.",,"=""1338109065""","=""9781338109061""",0,4.28,Arthur A. Levine Books,Hardcover,280,2016,2016,,2018/06/26,,,read,,,,1,,,0,,,,,
13246480,Mortality,Christopher Hitchens,"Hitchens, Christopher",,"=""1848879210""","=""9781848879218""",0,4.14,Atlantic,Hardcover,106,2012,2012,,2018/06/26,,,read,,,,1,,,0,,,,,
25667918,"Binti (Binti, #1)",Nnedi Okorafor,"Okorafor, Nnedi",,"=""0765384469""","=""9780765384461""",0,3.95,Tor.com,ebook,96,2015,2015,,2018/06/26,,,read,,,,1,,,0,,,,,
23692271,Sapiens: A Brief History of Humankind,Yuval Noah Harari,"Harari, Yuval Noah",,"=""""","=""""",5,4.45,Harvill Secker,Paperback,498,2014,2011,,2018/06/23,,,read,,,,1,,,0,,,,,
24702467,Aphorisms on Love and Hate,Friedrich Nietzsche,"Nietzsche, Friedrich",,"=""014139790X""","=""9780141397900""",5,3.61,Penguin Classics,Paperback,55,2015,1878,,2018/06/26,,,read,,,,1,,,0,,,,,
22318382,Becoming Steve Jobs: The Evolution of a Reckless Upstart into a Visionary Leader,Brent Schlender,"Schlender, Brent",Rick Tetzeli,"=""0385347405""","=""9780385347402""",5,4.19,Crown Business,Hardcover,464,2015,2015,,2018/06/26,,,read,,,,1,,,0,,,,,
